# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
10.522292,78,2597.430902
11.354663,86,2612.431095
10.765183,76,2625.31649
11.150889,81,2639.413855
11.435017,86,2654.336087
10.791118,79,2668.796594
11.091893,78,2682.358881
10.503046,79,2696.336926
11.808681,88,2711.398773
11.604023,83,2726.063113
11.488083,86,2741.275189
11.205588,84,2755.684398
12.024557,88,2772.208355
12.277406,96,2789.507812
11.347677,84,2804.195461
11.465878,82,2818.7644
10.757346,74,2832.058113
10.464425,74,2845.550011
10.135949,72,2858.32252
11.364802,90,2874.845481
10.82367,78,2889.446301
11.635791,83,2903.80662
10.520394,73,2916.792861
11.665534,87,2931.973665
12.476181,87,2947.614136
11.789989,83,2962.875564
11.142368,83,2977.688302
10.685906,78,2992.039081
11.422874,87,3007.72728
-4.429202,28,3012.823897
11.331939,84,3027.950263
11.295304,83,3043.092908
11.91466,89,3058.759295
11.431456,88,3074.729156
10.914831,78,3089.542697
11.74136,89,3105.159879
9.967222,74,3119.262222
12.116975,94,3136.244913
10.918192,79,3151.166167
12.058182,87,3167.033316
12.068239,92,3183.825132
11.505929,85,3199.498595
12.869712,95,3217.33213
11.222485,77,3231.65599
11.59078,87,3247.700561
12.918248,94,3264.549141
12.028161,90,3280.280246
11.01218,74,3293.697554
11.103506,82,3307.799871
12.588568,91,3324.458474
10.621833,73,3337.895516
11.167123,84,3353.017617
12.432769,89,3368.961032
11.802256,89,3385.566311
11.091456,81,3400.307338
12.273831,89,3416.316035
10.524255,80,3431.181758
10.793451,79,3444.636631
11.24964,79,3458.640522
10.789062,78,3472.36084
10.73426,79,3486.069374
11.544857,79,3499.89013
11.539707,83,3514.232827
9.459299,69,3527.180208
10.97261,81,3541.292188
10.409093,78,3554.909031
11.740065,84,3569.847098
11.737205,85,3585.246749
11.575681,85,3600.15774
10.556943,75,3613.627764
10.953278,83,3628.98345
11.00765,82,3644.04831
11.331383,82,3659.732558
12.465017,92,3676.96545
11.771645,92,3693.13351
12.582019,89,3708.689203
11.175084,81,3723.51744
11.571578,79,3738.055279
11.554775,83,3753.49861
12.641019,92,3770.754683
11.531747,79,3785.394546
10.547462,74,3798.494765
11.723162,85,3814.998456
12.088062,88,3831.120842
11.810364,89,3847.564713
12.039218,87,3863.290343
11.050039,83,3879.096899
11.078852,84,3894.750963
11.439159,84,3910.061848
11.655777,85,3926.226531
11.90763,83,3940.778762
10.538677,73,3954.263557
12.304031,88,3970.309089
10.448264,76,3984.934808
11.774257,82,4000.303449
11.295053,83,4015.617691
11.773218,88,4031.860181
