checkpoint	avg_score	success	result_json
candidate-000800.pt	85.71	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-000800/candidate-000800/sim_results/result.json
candidate-000900.pt	86.18	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-000900/candidate-000900/sim_results/result.json
candidate-000950.pt	85.78	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-000950/candidate-000950/sim_results/result.json
candidate-001100.pt	85.78	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-001100/candidate-001100/sim_results/result.json
candidate-001150.pt	85.95	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-001150/candidate-001150/sim_results/result.json
candidate-001250.pt	86.16	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-001250/candidate-001250/sim_results/result.json
candidate-001300.pt	86.16	True	/home/user/Documents/assignment2_project/artifacts/isaac_best_selection/sun_c1400_env128_workers16_rand52official_gap_fill_v2_lr5e7_cont_parallel_extra/candidate-001300/candidate-001300/sim_results/result.json
