[gat-train] wandb run url: https://wandb.ai/nkyeonjae1009-university-of-seoul/assignment2-pallet/runs/soyxkhtk
[gat-train] run_dir=isaaclab_pallet/runs/sun_terminal18_env128_workers4_rand10eval_sun_v1_deploybest device=cuda:0 num_envs=128 num_packer_workers=4 obs_shape=(128, 301, 9) leaf_shape=(128, 100, 9) num_steps=5 normFactor=0.8 drift_fail_threshold=0.4 reward_profile=sun_v1 learn_finish_action=False action_space=100 candidate_rerank_k=0 candidate_diversity_center_m=0.05
[gat-train] eval_seq_count=10 box_seq_dir=artifacts/random_spec_eval_10/box_sequence eval_sequences=random_spec_000,random_spec_001,random_spec_002,random_spec_003,random_spec_004,random_spec_005,random_spec_006,random_spec_007,random_spec_008,random_spec_009
/home/user/Documents/assignment2_project/templete code/src/pct/convex_hull.py:104: DeprecationWarning: Arrays of 2-dimensional vectors are deprecated. Use arrays of 3-dimensional vectors instead. (deprecated in NumPy 2.0)
  if np.sum(np.cross(coords[i] - point, point - coords[j])) == 0:
[gat-train] initial deployment score = 84.79 (torch_eval=87.48)  -> PCT-best.pt
[gat-train] update=37 samples=23680 fps=64.7 loss=2.4160 actor=1.2630 value=1.1678 entropy=1.4784 mean_return=38.303 mean_len=85.4
[gat-train] update=38 samples=24320 fps=64.9 loss=2.5017 actor=1.3479 value=1.1693 entropy=1.5439 mean_return=38.303 mean_len=85.4
[gat-train] update=39 samples=24960 fps=65.0 loss=2.6957 actor=1.5048 value=1.2073 entropy=1.6481 mean_return=38.303 mean_len=85.4
[gat-train] update=40 samples=25600 fps=64.9 loss=2.7766 actor=1.5921 value=1.2019 entropy=1.7427 mean_return=38.303 mean_len=85.4
[gat-train] update=41 samples=26240 fps=64.7 loss=2.6716 actor=1.5778 value=1.1117 entropy=1.7827 mean_return=38.303 mean_len=85.4
[gat-train] update=42 samples=26880 fps=64.5 loss=2.4949 actor=1.4931 value=1.0210 entropy=1.9203 mean_return=38.159 mean_len=85.1
[gat-train] update=43 samples=27520 fps=64.2 loss=2.4693 actor=1.5612 value=0.9277 entropy=1.9520 mean_return=38.159 mean_len=85.1
[gat-train] update=44 samples=28160 fps=63.9 loss=2.5947 actor=1.6305 value=0.9837 entropy=1.9415 mean_return=38.159 mean_len=85.1
[gat-train] update=45 samples=28800 fps=63.6 loss=2.2453 actor=1.3632 value=0.9019 entropy=1.9842 mean_return=37.770 mean_len=84.5
[gat-train] update=46 samples=29440 fps=63.4 loss=2.3545 actor=1.3761 value=0.9976 entropy=1.9260 mean_return=37.185 mean_len=83.5
[gat-train] update=47 samples=30080 fps=63.4 loss=1.8896 actor=0.9603 value=0.9484 entropy=1.9093 mean_return=36.219 mean_len=81.7
[gat-train] update=48 samples=30720 fps=63.6 loss=1.7518 actor=0.7977 value=0.9724 entropy=1.8243 mean_return=35.419 mean_len=79.7
[gat-train] update=49 samples=31360 fps=64.0 loss=1.1143 actor=0.3685 value=0.7618 entropy=1.6046 mean_return=36.225 mean_len=81.3
[gat-train] update=50 samples=32000 fps=64.4 loss=1.1651 actor=0.4900 value=0.6895 entropy=1.4438 mean_return=36.737 mean_len=82.1
[gat-train] eval update=50 torch_score=85.44 best=84.79
[gat-train] update=51 samples=32640 fps=62.5 loss=1.2559 actor=0.5381 value=0.7320 entropy=1.4204 mean_return=37.299 mean_len=82.8
[gat-train] update=52 samples=33280 fps=62.9 loss=1.8028 actor=0.9204 value=0.8969 entropy=1.4430 mean_return=37.226 mean_len=82.8
[gat-train] update=53 samples=33920 fps=63.1 loss=2.3060 actor=1.2419 value=1.0799 entropy=1.5775 mean_return=37.370 mean_len=82.8
[gat-train] update=54 samples=34560 fps=63.3 loss=2.7567 actor=1.5295 value=1.2445 entropy=1.7247 mean_return=37.370 mean_len=82.8
[gat-train] update=55 samples=35200 fps=63.4 loss=2.8403 actor=1.6711 value=1.1879 entropy=1.8702 mean_return=37.370 mean_len=82.8
[gat-train] update=56 samples=35840 fps=63.3 loss=3.0812 actor=1.8543 value=1.2466 entropy=1.9580 mean_return=37.370 mean_len=82.8
[gat-train] update=57 samples=36480 fps=63.3 loss=2.6807 actor=1.6630 value=1.0379 entropy=2.0185 mean_return=37.370 mean_len=82.8
[gat-train] update=58 samples=37120 fps=63.2 loss=2.6304 actor=1.6871 value=0.9639 entropy=2.0611 mean_return=37.370 mean_len=82.8
[gat-train] update=59 samples=37760 fps=63.1 loss=2.6082 actor=1.6223 value=1.0070 entropy=2.1104 mean_return=37.353 mean_len=82.6
[gat-train] update=60 samples=38400 fps=62.9 loss=2.5958 actor=1.5806 value=1.0362 entropy=2.0946 mean_return=37.353 mean_len=82.6
[gat-train] update=61 samples=39040 fps=62.7 loss=2.4781 actor=1.5262 value=0.9724 entropy=2.0403 mean_return=37.297 mean_len=82.4
[gat-train] update=62 samples=39680 fps=62.6 loss=2.2730 actor=1.2709 value=1.0221 entropy=1.9989 mean_return=36.676 mean_len=82.1
[gat-train] update=63 samples=40320 fps=62.6 loss=1.8963 actor=0.9112 value=1.0041 entropy=1.8998 mean_return=35.808 mean_len=81.2
[gat-train] update=64 samples=40960 fps=62.7 loss=1.6985 actor=0.8642 value=0.8519 entropy=1.7607 mean_return=35.713 mean_len=80.5
[gat-train] update=65 samples=41600 fps=62.8 loss=1.2773 actor=0.4205 value=0.8740 entropy=1.7221 mean_return=36.821 mean_len=82.1
[gat-train] update=66 samples=42240 fps=63.1 loss=0.9249 actor=0.1556 value=0.7847 entropy=1.5308 mean_return=37.353 mean_len=83.3
[gat-train] update=67 samples=42880 fps=63.4 loss=1.1106 actor=0.4132 value=0.7118 entropy=1.4412 mean_return=37.195 mean_len=83.4
[gat-train] update=68 samples=43520 fps=63.6 loss=1.4100 actor=0.6304 value=0.7939 entropy=1.4290 mean_return=37.156 mean_len=83.8
[gat-train] update=69 samples=44160 fps=63.8 loss=1.9915 actor=1.0026 value=1.0035 entropy=1.4555 mean_return=37.345 mean_len=84.4
[gat-train] update=70 samples=44800 fps=64.0 loss=2.3704 actor=1.2453 value=1.1406 entropy=1.5486 mean_return=37.405 mean_len=84.4
[gat-train] update=71 samples=45440 fps=64.1 loss=2.5516 actor=1.4791 value=1.0895 entropy=1.6940 mean_return=37.405 mean_len=84.4
[gat-train] update=72 samples=46080 fps=64.2 loss=2.8157 actor=1.5517 value=1.2823 entropy=1.8366 mean_return=37.113 mean_len=83.9
[gat-train] update=73 samples=46720 fps=64.2 loss=2.7962 actor=1.7097 value=1.1058 entropy=1.9339 mean_return=37.113 mean_len=83.9
[gat-train] update=74 samples=47360 fps=64.1 loss=2.7371 actor=1.6887 value=1.0683 entropy=1.9886 mean_return=37.113 mean_len=83.9
[gat-train] update=75 samples=48000 fps=64.0 loss=2.6189 actor=1.6465 value=0.9937 entropy=2.1236 mean_return=37.035 mean_len=83.6
[gat-train] update=76 samples=48640 fps=63.9 loss=2.6412 actor=1.7128 value=0.9498 entropy=2.1508 mean_return=37.035 mean_len=83.6
[gat-train] update=77 samples=49280 fps=63.7 loss=2.5414 actor=1.5761 value=0.9868 entropy=2.1452 mean_return=36.953 mean_len=83.5
[gat-train] update=78 samples=49920 fps=63.6 loss=2.4281 actor=1.4192 value=1.0301 entropy=2.1160 mean_return=36.562 mean_len=82.7
[gat-train] update=79 samples=50560 fps=63.5 loss=1.9667 actor=0.8498 value=1.1370 entropy=2.0018 mean_return=35.841 mean_len=80.8
[gat-train] update=80 samples=51200 fps=63.6 loss=1.4724 actor=0.4336 value=1.0571 entropy=1.8214 mean_return=35.179 mean_len=78.4
[gat-train] update=81 samples=51840 fps=63.7 loss=1.4332 actor=0.3193 value=1.1309 entropy=1.6893 mean_return=35.486 mean_len=79.5
[gat-train] update=82 samples=52480 fps=63.9 loss=1.4552 actor=0.3840 value=1.0869 entropy=1.5708 mean_return=35.103 mean_len=79.5
[gat-train] update=83 samples=53120 fps=64.1 loss=1.2160 actor=0.3226 value=0.9086 entropy=1.5201 mean_return=35.931 mean_len=81.2
[gat-train] update=84 samples=53760 fps=64.3 loss=1.7190 actor=0.7334 value=1.0005 entropy=1.4973 mean_return=36.141 mean_len=82.0
[gat-train] update=85 samples=54400 fps=64.5 loss=1.9720 actor=0.9197 value=1.0679 entropy=1.5552 mean_return=36.206 mean_len=82.1
[gat-train] update=86 samples=55040 fps=64.6 loss=2.3678 actor=1.2906 value=1.0938 entropy=1.6597 mean_return=36.469 mean_len=82.4
[gat-train] update=87 samples=55680 fps=64.7 loss=2.5099 actor=1.3958 value=1.1316 entropy=1.7442 mean_return=36.461 mean_len=82.3
[gat-train] update=88 samples=56320 fps=64.7 loss=2.7050 actor=1.6235 value=1.1000 entropy=1.8473 mean_return=36.461 mean_len=82.3
[gat-train] update=89 samples=56960 fps=64.7 loss=2.7694 actor=1.6876 value=1.1014 entropy=1.9526 mean_return=36.461 mean_len=82.3
[gat-train] update=90 samples=57600 fps=64.6 loss=2.5507 actor=1.5824 value=0.9887 entropy=2.0421 mean_return=36.461 mean_len=82.3
[gat-train] update=91 samples=58240 fps=64.5 loss=2.3457 actor=1.4413 value=0.9250 entropy=2.0650 mean_return=36.342 mean_len=82.2
[gat-train] update=92 samples=58880 fps=64.4 loss=2.4851 actor=1.3093 value=1.1969 entropy=2.1104 mean_return=36.003 mean_len=81.4
[gat-train] update=93 samples=59520 fps=64.3 loss=2.6329 actor=1.5157 value=1.1382 entropy=2.0932 mean_return=35.640 mean_len=80.8
[gat-train] update=94 samples=60160 fps=64.2 loss=2.2943 actor=1.0207 value=1.2934 entropy=1.9734 mean_return=35.498 mean_len=80.1
[gat-train] update=95 samples=60800 fps=64.2 loss=2.0182 actor=0.5857 value=1.4518 entropy=1.9407 mean_return=34.430 mean_len=78.0
[gat-train] update=96 samples=61440 fps=64.2 loss=1.6288 actor=0.5140 value=1.1326 entropy=1.7809 mean_return=34.132 mean_len=77.0
[gat-train] update=97 samples=62080 fps=64.3 loss=1.4367 actor=0.3407 value=1.1130 entropy=1.7017 mean_return=35.104 mean_len=79.5
[gat-train] update=98 samples=62720 fps=64.4 loss=1.3312 actor=-0.0441 value=1.3916 entropy=1.6339 mean_return=35.850 mean_len=81.2
[gat-train] update=99 samples=63360 fps=64.6 loss=1.2079 actor=0.3127 value=0.9104 entropy=1.5217 mean_return=36.004 mean_len=81.6
[gat-train] update=100 samples=64000 fps=64.7 loss=1.6993 actor=0.5855 value=1.1289 entropy=1.5127 mean_return=36.391 mean_len=81.9
[gat-train] eval update=100 torch_score=77.11 best=84.79
[gat-train] update=101 samples=64640 fps=63.6 loss=1.7593 actor=0.7061 value=1.0680 entropy=1.4831 mean_return=36.279 mean_len=81.8
[gat-train] update=102 samples=65280 fps=63.7 loss=2.1353 actor=1.0691 value=1.0812 entropy=1.4942 mean_return=36.490 mean_len=82.2
[gat-train] update=103 samples=65920 fps=63.7 loss=2.1094 actor=1.0005 value=1.1237 entropy=1.4804 mean_return=36.694 mean_len=82.8
[gat-train] update=104 samples=66560 fps=63.8 loss=2.4295 actor=1.1928 value=1.2508 entropy=1.4036 mean_return=36.694 mean_len=82.8
[gat-train] update=105 samples=67200 fps=63.8 loss=2.2931 actor=1.1796 value=1.1276 entropy=1.4011 mean_return=36.775 mean_len=83.0
[gat-train] update=106 samples=67840 fps=63.7 loss=2.3067 actor=1.2513 value=1.0692 entropy=1.3784 mean_return=36.775 mean_len=83.0
[gat-train] update=107 samples=68480 fps=63.7 loss=2.3264 actor=1.3077 value=1.0336 entropy=1.4816 mean_return=36.775 mean_len=83.0
[gat-train] update=108 samples=69120 fps=63.6 loss=2.1840 actor=1.1970 value=1.0013 entropy=1.4217 mean_return=36.775 mean_len=83.0
[gat-train] update=109 samples=69760 fps=63.5 loss=2.1432 actor=0.9532 value=1.2045 entropy=1.4513 mean_return=36.930 mean_len=83.0
[gat-train] update=110 samples=70400 fps=63.4 loss=2.0044 actor=0.8984 value=1.1212 entropy=1.5241 mean_return=37.003 mean_len=83.4
[gat-train] update=111 samples=71040 fps=63.4 loss=2.1694 actor=0.5502 value=1.6359 entropy=1.6742 mean_return=36.686 mean_len=82.5
[gat-train] update=112 samples=71680 fps=63.4 loss=1.4857 actor=0.0410 value=1.4629 entropy=1.8268 mean_return=37.069 mean_len=82.7
[gat-train] update=113 samples=72320 fps=63.4 loss=1.5289 actor=0.0818 value=1.4673 entropy=2.0155 mean_return=37.276 mean_len=82.3
[gat-train] update=114 samples=72960 fps=63.5 loss=1.4757 actor=0.2741 value=1.2214 entropy=1.9711 mean_return=37.878 mean_len=83.4
[gat-train] update=115 samples=73600 fps=63.6 loss=1.5724 actor=0.1199 value=1.4734 entropy=2.0886 mean_return=37.111 mean_len=82.5
[gat-train] update=116 samples=74240 fps=63.7 loss=2.0158 actor=0.7949 value=1.2395 entropy=1.8601 mean_return=37.113 mean_len=82.7
[gat-train] update=117 samples=74880 fps=63.8 loss=2.0826 actor=0.8662 value=1.2345 entropy=1.8101 mean_return=37.804 mean_len=83.9
[gat-train] update=118 samples=75520 fps=63.9 loss=2.3435 actor=0.8795 value=1.4812 entropy=1.7136 mean_return=37.808 mean_len=83.9
[gat-train] update=119 samples=76160 fps=64.0 loss=2.2168 actor=1.0726 value=1.1612 entropy=1.7091 mean_return=37.643 mean_len=83.6
[gat-train] update=120 samples=76800 fps=64.0 loss=2.3374 actor=1.2166 value=1.1365 entropy=1.5810 mean_return=37.672 mean_len=83.6
[gat-train] update=121 samples=77440 fps=64.0 loss=2.3166 actor=1.1953 value=1.1360 entropy=1.4737 mean_return=37.633 mean_len=83.6
[gat-train] update=122 samples=78080 fps=64.0 loss=2.2487 actor=1.2799 value=0.9831 entropy=1.4289 mean_return=37.633 mean_len=83.6
[gat-train] update=123 samples=78720 fps=63.9 loss=2.1273 actor=1.1694 value=0.9714 entropy=1.3570 mean_return=37.633 mean_len=83.6
[gat-train] update=124 samples=79360 fps=63.8 loss=2.0780 actor=1.0208 value=1.0711 entropy=1.3916 mean_return=37.401 mean_len=83.3
[gat-train] update=125 samples=80000 fps=63.7 loss=2.0007 actor=0.6651 value=1.3494 entropy=1.3789 mean_return=37.231 mean_len=82.9
[gat-train] update=126 samples=80640 fps=63.7 loss=2.2048 actor=0.4564 value=1.7622 entropy=1.3850 mean_return=36.777 mean_len=81.6
[gat-train] update=127 samples=81280 fps=63.6 loss=2.2084 actor=0.3188 value=1.9045 entropy=1.4967 mean_return=35.980 mean_len=79.7
[gat-train] update=128 samples=81920 fps=63.6 loss=1.7898 actor=0.2210 value=1.5841 entropy=1.5363 mean_return=35.219 mean_len=78.3
[gat-train] update=129 samples=82560 fps=63.6 loss=1.6852 actor=-0.0138 value=1.7148 entropy=1.5797 mean_return=35.724 mean_len=79.1
[gat-train] update=130 samples=83200 fps=63.6 loss=1.7218 actor=0.0233 value=1.7152 entropy=1.6637 mean_return=36.681 mean_len=81.6
[gat-train] update=131 samples=83840 fps=63.7 loss=1.5968 actor=0.0069 value=1.6067 entropy=1.6840 mean_return=36.844 mean_len=81.9
[gat-train] update=132 samples=84480 fps=63.8 loss=1.7423 actor=0.2803 value=1.4783 entropy=1.6323 mean_return=37.024 mean_len=82.3
[gat-train] update=133 samples=85120 fps=63.9 loss=1.8091 actor=0.3848 value=1.4408 entropy=1.6423 mean_return=37.109 mean_len=82.5
[gat-train] update=134 samples=85760 fps=64.0 loss=1.9940 actor=0.7099 value=1.2995 entropy=1.5360 mean_return=37.173 mean_len=82.8
[gat-train] update=135 samples=86400 fps=64.0 loss=2.2129 actor=0.8866 value=1.3406 entropy=1.4342 mean_return=37.182 mean_len=82.7
[gat-train] update=136 samples=87040 fps=64.1 loss=2.1351 actor=0.8588 value=1.2908 entropy=1.4468 mean_return=37.134 mean_len=82.6
[gat-train] update=137 samples=87680 fps=64.1 loss=2.1532 actor=1.0988 value=1.0682 entropy=1.3791 mean_return=37.134 mean_len=82.6
[gat-train] update=138 samples=88320 fps=64.0 loss=2.3062 actor=1.2289 value=1.0912 entropy=1.3901 mean_return=37.252 mean_len=82.9
[gat-train] update=139 samples=88960 fps=64.0 loss=2.2788 actor=0.9966 value=1.2952 entropy=1.3041 mean_return=37.136 mean_len=82.9
[gat-train] update=140 samples=89600 fps=63.9 loss=2.1891 actor=1.0306 value=1.1718 entropy=1.3369 mean_return=37.094 mean_len=82.8
[gat-train] update=141 samples=90240 fps=63.9 loss=2.2876 actor=0.6394 value=1.6622 entropy=1.4077 mean_return=36.793 mean_len=82.5
[gat-train] update=142 samples=90880 fps=63.8 loss=1.9568 actor=0.7550 value=1.2155 entropy=1.3652 mean_return=36.713 mean_len=82.2
